---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_0
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 Mtu             : 4096[B]
 Link type       : IB
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0x141 QPN 0x7fb5 PSN 0x1da5ea OUT 0x10 RKey 0x0618a4 VAddr 0x007f8042c00000
 remote address: LID 0x142 QPN 0x0aaf PSN 0x926e1e OUT 0x10 RKey 0x19cad6 VAddr 0x007f9128cf0000
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[MB/sec]    BW average[MB/sec]   MsgRate[Mpps]
 2          100000           0.00               7.21   		   3.779873
 4          100000           0.00               14.41  		   3.778335
 8          100000           0.00               28.86  		   3.782305
 16         100000           0.00               57.63  		   3.776792
 32         100000           0.00               115.27 		   3.777112
 64         100000           0.00               230.50 		   3.776569
 128        100000           0.00               460.75 		   3.774468
 256        100000           0.00               921.44 		   3.774207
 512        100000           0.00               1842.31		   3.773046
 1024       100000           0.00               3679.71		   3.768025
 2048       100000           0.00               7343.95		   3.760104
 4096       100000           0.00               10290.45		   2.634354
 8192       100000           0.00               11815.10		   1.512333
 16384      100000           0.00               11817.15		   0.756298
 32768      100000           0.00               11818.59		   0.378195
 65536      100000           0.00               11818.78		   0.189100
