---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_0
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 Mtu             : 4096[B]
 Link type       : IB
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0x144 QPN 0x9631 PSN 0x235025 OUT 0x10 RKey 0x05b675 VAddr 0x007f2a63c00000
 remote address: LID 0x146 QPN 0xa02f PSN 0x5ad05d OUT 0x10 RKey 0x0b9b7d VAddr 0x007fb080f90000
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[MB/sec]    BW average[MB/sec]   MsgRate[Mpps]
 2          100000           0.00               6.64   		   3.480155
 4          100000           0.00               13.27  		   3.478044
 8          100000           0.00               26.54  		   3.479155
 16         100000           0.00               53.06  		   3.477056
 32         100000           0.00               106.17 		   3.478987
 64         100000           0.00               212.23 		   3.477157
 128        100000           0.00               417.70 		   3.421832
 256        100000           0.00               835.41 		   3.421840
 512        100000           0.00               1672.57		   3.425430
 1024       100000           0.00               3346.31		   3.426623
 2048       100000           0.00               6688.82		   3.424673
 4096       100000           0.00               10210.47		   2.613879
 8192       100000           0.00               11815.24		   1.512351
 16384      100000           0.00               11817.52		   0.756322
 32768      100000           0.00               11818.94		   0.378206
 65536      100000           0.00               11818.09		   0.189089
