processes,24,48,96,144,48,96,192,288,96,192,384,576
nodes,2,4,8,12,2,4,8,12,2,4,8,12
ppn,12,12,12,12,24,24,24,24,48,48,48,48
4,5.68,7.99,10.22,11.84,8.64,14.21,14.90,20.00,29.29,52.65,44.86,58.37
8,5.62,9.85,10.26,11.86,7.44,11.49,15.16,22.41,19.21,30.49,43.90,97.88
16,5.60,8.97,10.44,11.87,7.62,11.66,15.24,19.53,19.02,29.88,44.46,59.34
32,5.96,9.34,10.51,12.17,9.80,11.91,16.22,19.86,19.90,31.06,44.75,61.65
64,6.08,8.20,11.11,12.97,7.85,12.17,16.44,20.83,20.18,31.23,45.65,94.08
128,7.54,9.46,12.47,15.60,9.55,13.76,17.87,22.44,21.63,33.23,47.08,69.33
256,8.46,11.41,16.00,19.53,10.87,15.92,21.74,26.88,22.86,37.31,53.49,71.25
512,9.15,12.54,16.80,20.50,11.54,17.67,28.95,30.81,24.67,43.33,65.26,113.72
1024,10.86,14.47,20.04,23.66,13.66,20.92,31.44,41.21,28.97,58.31,89.82,122.05
2048,14.34,18.53,23.97,29.94,18.07,30.53,46.80,63.61,39.79,89.13,137.94,188.03
4096,20.72,27.84,37.46,48.80,27.63,54.83,81.83,111.73,67.13,193.49,245.47,341.93
8192,36.77,49.36,71.68,92.98,53.10,107.11,154.92,214.42,134.09,328.82,465.19,705.32
16384,58.31,101.69,168.53,257.20,91.87,171.73,302.59,430.13,215.00,404.67,793.39,1154.63
32768,79.19,122.87,188.44,274.59,115.08,190.22,357.98,511.22,231.79,464.89,824.15,1160.89
65536,113.35,160.37,229.43,312.33,149.86,233.19,434.80,545.28,287.60,453.92,928.83,1396.57
131072,183.08,236.36,305.54,397.37,217.98,324.93,488.35,610.57,382.16,573.66,990.60,1359.88
262144,348.11,396.06,464.17,536.49,354.23,464.37,627.88,794.81,563.24,783.34,1177.58,1695.50
524288,660.49,738.54,764.66,854.16,674.14,757.93,913.23,1090.91,956.14,1166.89,1599.29,2312.23
1048576,1366.36,1500.82,1536.49,1499.14,1359.55,1483.83,1627.99,1816.52,2294.20,1939.65,2484.75,2854.16
