processes,24,48,96,144,48,96,192,288,96,192,384,576
nodes,2,4,8,12,2,4,8,12,2,4,8,12
ppn,12,12,12,12,24,24,24,24,48,48,48,48
4,5.74,8.32,10.52,15.33,9.49,14.87,25.76,26.91,30.99,50.65,47.63,59.67
8,5.75,11.59,10.89,11.74,7.59,11.31,15.27,19.40,20.21,30.27,44.45,58.38
16,5.73,8.44,10.78,11.88,7.89,11.24,14.97,19.54,18.98,29.78,43.54,61.62
32,6.32,8.14,11.47,12.62,7.76,11.79,15.62,19.99,19.94,30.66,44.55,60.66
64,6.39,8.11,11.77,13.06,7.88,12.12,16.43,20.79,20.40,31.33,46.06,64.20
128,7.90,9.38,12.52,15.40,9.83,13.57,18.34,22.57,23.53,32.87,47.97,63.68
256,8.63,11.32,14.91,17.88,10.71,16.02,21.95,26.92,23.16,37.93,54.29,70.99
512,9.39,12.42,15.91,20.43,11.73,17.51,24.80,30.39,24.92,43.10,65.39,88.41
1024,11.19,14.49,18.09,24.07,13.98,20.89,30.65,42.90,30.17,58.17,90.89,122.51
2048,14.83,18.42,22.97,29.10,18.39,30.07,47.13,63.38,39.71,89.04,138.06,187.92
4096,21.22,28.09,36.14,48.41,28.57,54.97,83.63,112.34,66.74,159.97,249.26,343.14
8192,37.75,48.40,70.00,91.95,53.62,105.73,156.94,214.49,135.50,300.91,466.72,655.08
16384,58.33,97.45,195.77,245.41,92.54,171.95,297.16,439.79,213.94,394.79,841.15,1158.81
32768,76.46,114.96,190.23,270.06,114.69,189.24,362.14,510.39,228.43,461.23,840.12,1433.63
65536,115.72,149.78,228.26,303.99,149.59,229.05,392.60,553.36,286.57,496.72,908.04,1320.66
131072,191.61,219.71,305.88,388.70,219.90,303.16,478.60,602.20,395.68,584.63,964.38,1341.40
262144,355.02,359.35,453.98,534.39,365.68,445.91,621.45,797.76,578.87,815.71,1215.97,1525.07
524288,682.40,685.25,755.33,854.93,696.35,744.52,911.21,1092.49,973.13,1199.79,1621.80,1977.02
1048576,1411.70,2100.25,1493.54,1547.60,1387.06,1531.25,1612.67,1882.19,1910.58,2006.79,2514.23,2933.74
