processes,24,48,96,144,48,96,192,288,96,192,384,576
nodes,2,4,8,12,2,4,8,12,2,4,8,12
ppn,12,12,12,12,24,24,24,24,48,48,48,48
4,5.63,8.22,9.44,14.83,7.47,14.37,22.88,19.32,24.07,37.06,50.89,50.22
8,6.04,7.14,9.49,11.83,7.68,13.98,12.92,18.61,16.32,25.68,37.89,50.48
16,5.76,6.78,9.47,11.44,7.34,9.82,13.05,17.85,16.38,26.79,37.37,49.69
32,6.62,7.41,9.88,11.83,9.34,10.41,13.89,20.45,17.34,27.59,37.50,51.01
64,6.90,7.71,10.31,11.95,7.61,11.24,18.18,20.55,18.43,29.84,44.02,61.56
128,8.95,9.22,12.09,13.75,9.32,12.95,19.53,22.59,20.43,32.63,45.04,64.17
256,8.44,10.91,13.72,16.71,10.16,16.60,21.18,24.78,21.10,34.45,53.24,68.62
512,8.66,12.45,15.17,18.61,11.11,17.32,25.63,28.45,22.76,40.30,61.12,89.27
1024,10.61,15.78,18.01,24.11,14.32,21.60,27.58,37.34,26.97,55.19,82.61,126.37
2048,13.67,18.20,23.09,27.59,18.41,30.24,46.64,62.75,38.62,86.69,136.38,185.64
4096,19.70,26.50,37.85,97.26,28.90,54.38,82.26,111.86,65.24,156.31,244.82,337.78
8192,34.40,48.70,73.01,92.66,52.90,99.88,148.85,205.95,127.17,284.75,441.72,621.79
16384,47.03,84.35,159.22,237.83,84.53,153.01,265.27,291.13,190.04,284.29,491.02,804.39
32768,61.65,103.53,173.47,258.12,101.55,165.34,312.84,469.54,199.74,386.15,696.21,775.95
65536,91.72,133.77,205.66,296.43,132.88,197.85,330.52,551.54,249.18,408.35,752.89,1163.72
131072,150.71,200.54,268.41,350.07,204.51,258.99,398.30,572.69,342.48,499.85,810.68,1183.03
262144,289.83,347.44,415.44,487.24,342.14,406.43,526.30,665.67,531.71,681.28,1052.36,1360.94
524288,553.93,661.88,714.22,842.88,668.44,694.69,822.79,960.26,903.49,1078.75,1408.69,1811.65
1048576,1230.95,1356.85,1478.56,1442.28,1345.07,1426.46,1489.17,1671.80,1829.75,1868.27,2339.50,2842.20
