processes,24,48,96,144,48,96,192,288,96,192,384,576
nodes,2,4,8,12,2,4,8,12,2,4,8,12
ppn,12,12,12,12,24,24,24,24,48,48,48,48
4,107.97,182.76,237.57,284.92,125.12,201.25,257.28,326.66,180.13,309.21,477.32,534.82
8,108.42,183.89,236.76,285.63,124.71,201.53,257.85,326.40,180.98,309.92,408.46,537.54
16,107.76,184.09,238.70,285.95,125.83,202.39,259.58,327.42,182.20,315.85,400.66,602.94
32,108.45,184.70,241.01,286.75,126.53,203.71,261.26,330.31,180.97,314.01,404.64,544.40
64,110.30,187.64,245.17,293.79,129.65,209.02,281.89,341.01,182.27,323.68,422.37,566.65
128,113.31,191.71,250.14,302.75,132.42,217.21,281.40,363.82,183.89,348.31,462.13,629.08
256,118.67,200.50,264.28,323.26,138.83,237.79,315.94,431.11,193.15,419.67,608.09,808.16
512,136.00,228.23,307.47,394.14,168.67,311.81,442.07,618.30,238.84,601.64,829.89,1204.56
1024,177.23,318.26,445.74,599.62,235.84,483.68,716.97,1001.55,345.95,939.85,1350.64,1962.27
2048,292.04,535.72,768.80,1043.78,393.71,873.74,1331.16,1867.87,602.82,1591.97,2461.33,3585.79
4096,456.76,918.57,1372.30,1880.15,676.23,1583.82,2446.35,3455.62,1107.59,2919.15,4542.30,6709.70
8192,707.01,1620.74,2532.11,3533.63,1157.12,2948.79,4648.69,6639.93,1988.08,5582.34,9029.45,13075.98
16384,877.45,1381.44,2524.89,3647.06,980.04,1699.61,3404.33,4987.82,1215.84,2411.95,4850.79,7441.86
32768,1116.37,1707.80,2980.23,3860.06,1174.28,2079.42,3676.33,5343.77,1554.24,2654.32,5234.65,8104.98
65536,1362.16,2108.03,3646.74,5013.87,1454.08,2459.45,4498.92,5709.32,1804.06,3343.74,5447.52,8410.02
131072,2143.66,2569.92,4391.44,5616.93,2191.55,2920.52,5214.91,7393.14,2362.93,3731.82,6990.77,9009.74
262144,3991.86,4414.29,5265.07,6696.42,4112.31,4485.25,6068.73,8122.95,4248.99,4681.92,7723.17,11636.60
524288,7789.19,8544.77,8976.98,9299.91,7972.16,8681.97,9068.69,9770.15,8155.04,8798.47,9404.05,12890.99
1048576,15448.25,16851.53,17617.73,17924.93,15751.70,17027.57,17766.70,18035.01,16002.02,17241.36,17964.59,18771.23
