processes,24,48,96,144,48,96,192,288,96,192,384,576
nodes,2,4,8,12,2,4,8,12,2,4,8,12
ppn,12,12,12,12,24,24,24,24,48,48,48,48
4,137.24,236.13,333.43,417.97,222.52,384.07,500.66,667.57,375.22,723.83,1060.16,1492.74
8,137.50,240.34,322.30,420.52,266.72,421.09,511.78,671.99,379.79,729.29,972.44,1514.50
16,136.90,235.81,318.76,420.42,229.02,387.98,514.69,691.96,383.01,727.83,989.59,1390.35
32,137.95,236.00,323.69,430.05,230.22,387.04,512.95,688.15,386.30,732.36,1068.42,1377.87
64,139.25,241.55,318.99,431.18,231.34,387.28,518.75,693.11,391.91,722.72,993.12,1375.37
128,141.18,248.82,327.09,436.93,235.16,389.74,523.03,695.25,391.16,720.76,998.12,1365.86
256,145.60,252.81,333.81,451.36,239.93,404.05,542.34,709.62,391.91,723.82,1091.96,1377.08
512,160.53,287.44,375.50,507.31,256.13,450.17,619.68,850.76,425.04,853.09,1189.83,1726.51
1024,193.66,347.24,486.27,650.51,296.10,567.62,803.03,1143.59,478.62,1066.36,1773.61,2406.10
2048,273.04,549.80,769.84,1066.46,428.97,945.76,1370.59,1927.36,734.61,1801.51,2708.90,3916.79
4096,440.64,942.92,1376.65,1911.12,698.26,1643.09,2508.31,3501.91,1223.86,3115.63,4872.59,7117.00
8192,709.60,1722.32,2529.06,3587.91,1131.92,3004.67,4728.48,6706.38,2173.08,5831.27,9360.10,13513.18
16384,849.12,1439.85,2560.67,3694.70,1037.36,1769.50,3341.61,5070.84,1431.96,2593.80,5264.46,7741.34
32768,1089.17,1737.28,2986.98,3906.82,1208.93,2151.72,3601.86,5364.15,1813.43,2787.46,5367.34,8536.25
65536,1326.89,2093.55,3598.67,5004.98,1482.61,2503.09,4370.41,5719.13,1927.40,4162.26,5688.53,8650.72
131072,2141.03,2554.69,4279.90,5570.56,2237.66,2971.09,5078.41,7366.28,2503.89,3963.19,8414.45,9247.51
262144,4001.00,4395.52,5180.10,6641.51,4118.73,4512.93,5944.16,8056.93,4291.88,5552.18,7970.70,13274.69
524288,7789.79,8523.67,8960.46,9265.25,7953.66,8702.39,9098.96,9784.75,8172.52,9025.30,9737.86,13497.81
1048576,15429.31,16813.97,17585.93,17911.93,15722.86,17037.74,17794.50,18061.42,15979.63,17447.07,18203.35,19656.32
